intput,output,type,status
men djihet,du côté,spacial,to review
fi djwayeh / djihat,aux environs,spacial,to review
koulchi / keemel,tout,adverb,to review
chouya,un peu,adverb,to review
ga3,tous,adverb,to review
qrib,presque,spacial,to review
ghir,seulement / dès que,adverb,to review
bezef,beaucoup,adverb,to review
dekhel,à l'intérieur / dedans,spacial,to review
berra,à l'extérieur / dehors,spacial,to review
fe,dans,spacial,to review
hada,ce (masculin),spacial,to review
hadi,ce (féminin),spacial,to review
hadak - dak,celui (loin),spacial,to review
hadik - dik,celle (loin),spacial,to review
hadouk -douk,ceux (loin),spacial,to review
hadu,ce (pluriel),spacial,to review
hahu,voilà (masc),spacial,to review
hahi,voilà (fém),spacial,to review
hahum,voilà (plur),spacial,to review
had,ce / cet / cette,spacial,to review
mdina,ville,place,to review
3and,chez,place,to review
bit er-rqad,chambre,place,to review
el7ebta,la descente,spacial,to review
ettel3a,la montée,spacial,to review
ettri9,la rue,place,to review
men 3endna,proche de chez nous,spacial,to review
7ouma,quartier,place,to review
dakhla,l'entrée,place,to review
lkharja ,la sortie,place,to review
zon9a,la rue,place,to review
ghorba,à l'étranger,place,to review
wo9tech,quand,temporal,to review
ki,lorsque,temporal,to review
wa9t,temps,temporal,to review
el bara7,hier,temporal,to review
loul bara7,avant hier,temporal,to review
lioum,aujourd'hui / un jour,temporal,to review
ghedwa,demain,temporal,to review
ghir ghedwa,après demain,temporal,to review
doka / dorka,maintenant,temporal,to review
temtem,tout de suite,temporal,to review
9bel / moqbel,avant,temporal,to review
9eblek,avant toi,temporal,to review
mor,après,temporal,to review
oumba3d,plus tard,temporal,to review
sba7,matin,temporal,to review
ftour / dhorhan,midi,temporal,to review
la3chiya,après-midi / soir,temporal,to review
essehra,soirée,temporal,to review
leyl / f-elill,nuit,temporal,to review
7etta,jusqu'à,temporal,to review
min,à partir,temporal,to review
kif kif / medem,en meme temps,temporal,to review
min ... hta,de ... à ...,temporal,to review
men dork,dès maintenant,temporal,to review
fi,pendant,temporal,to review
el had,dimanche,temporal,to review
etnin,lundi,temporal,to review
etleta,mardi,temporal,to review
lerab3,mercredi,temporal,to review
lekhmis,jeudi,temporal,to review
eldjem3,vendredi,temporal,to review
esebt,samedi,temporal,to review
seconde,seconde,temporal,to review
tqiqa,minute,temporal,to review
tqayeq,minutes,temporal,to review
se3a,heure,temporal,to review
swaya3,heures,temporal,to review
n'ar,Un jour,temporal,to review
liem / liemet,jours,temporal,to review
smana,semaine,temporal,to review
smenet,semaines,temporal,to review
ch'ar,mois,temporal,to review
3am,année / an,temporal,to review
sna,années / ans,temporal,to review
snin,années,temporal,to review
abadan,jamais,temporal,to review
osbo3yan,hebdomadaire,temporal,to review
chahryan,mensuel,temporal,to review
mindek,quelques fois,temporal,to review
ghali ben,souvent,temporal,to review
daymen / dima,toujours,temporal,to review
hadawin,venir de,temporal,to review
hedi mouda,ça fait longtemps,temporal,to review
mudda,durée,temporal,to review
ma zal / ma zalet,pas encore / il en reste,temporal,to review
koul lioum,tous les jours,temporal,to review
n'ar kaamel / ga3 n'ar,toute la journée,temporal,to review
bekri,tôt,temporal,to review
el7el,tard,temporal,to review
mara wa7da fi,une fois par,temporal,to review
melli,depuis que,temporal,to review
djwayeh,environ,temporal,to review
ta3 essba7,du matin,temporal,to review
ta3 le3chiya / ta3 elil,du soir,temporal,to review
3a elwa7da,à 1h,temporal,to review
3a ezzoudj,à 2h,temporal,to review
3a etlaata,à 3h,temporal,to review
3a erreb3a,à 4h,temporal,to review
3a elkhemsa,à 5h,temporal,to review
3a esseta,à 6h,temporal,to review
3a esseb3a,à 7h,temporal,to review
3a etmenya,à 8h,temporal,to review
3a ettes3a,à 9h,temporal,to review
3a el3echra,à 10h,temporal,to review
3a el7deech,à 11h,temporal,to review
3a ettnach,à 12h,temporal,to review
séf,été,temporal,to review
lakhriif,automne,temporal,to review
chta,hiver / pluie,temporal,to review
rbi3,printemps,temporal,to review
yenayer,janvier,temporal,to review
febrayer,février,temporal,to review
mars,mars,temporal,to review
abril,avril,temporal,to review
may,mai,temporal,to review
yonyo,juin,temporal,to review
yolyoz,juillet,temporal,to review
ghost,août,temporal,to review
chotambir,septembre,temporal,to review
october,octobre,temporal,to review
nowambir,novembre,temporal,to review
dojambir,décembre,temporal,to review
koul mara,souvent / tout le temps,temporal,to review
belek / wa9il,peut-être,adverb,to review
jaya,prochaine,temporal,to review
tashar,tard,temporal,to review
smana li fatet,semaine passée,temporal,to review
ch'ar li fat,mois passé,temporal,to review
l3am li fat,l'année passée,temporal,to review
smana el djaya,semaine prochaine,temporal,to review
ch'ar el djay,mois prochain,temporal,to review
l3am el djay,l'année prochaine,temporal,to review
lmara li fatet,la fois passée,temporal,to review
3andi ch7al ma,ça fait longtemps que je + verbe passé,temporal,to review
msba7,ça fait un moment,temporal,to review
mara loula,la première fois,temporal,to review
set chhour,six mois,temporal,to review
min dek,des fois,temporal,to review
khdar,vert,color,to review
k7el,noir,color,to review
biod,blanc,color,to review
zra9,bleu,color,to review
khokhe,rose,color,to review
7mor,rouge,color,to review
9ahwi,marron,color,to review
beba,mon père,person,to review
yemma,ma mère,person,to review
djadi / djadou,mon grand père,person,to review
djadati / mani,ma grand mère,person,to review
3mi / 3mou,mon oncle (paternel),person,to review
7ali / 7alou / Khali,mon oncle (maternel),person,to review
3mti / khalti,ma tante,person,to review
wlid + 3mi/kahli/3mti/khalti,mon cousin,person,to review
bent + 3mi/kahli/3mti/khalti,ma cousine,person,to review
khouya,mon frère,person,to review
khti,ma soeur,person,to review
khout,la soeur de,person,to review
khouatet,soeurs,person,to review
khou,le frère de,person,to review
khawa,frères,person,to review
wliidi,mon fils,person,to review
tfal,garçon,person,to review
tafla,fille,person,to review
benti,ma fille,person,to review
morti,ma femme,person,to review
radjli,mon mari,person,to review
nsib / lousi,mon beau-frère,person,to review
sitbi / lousta,ma belle-soeur,person,to review
nsibi / sheikhi,mon beau père,person,to review
wlif,fils,person,to review
drari,enfant,person,to review
bent,fille (de),person,to review
bnet,filles,person,to review
etefla,une fille,person,to review
wlidi,mon fils,person,to review
radjel,homme,person,to review
rdjal,hommes,person,to review
mra / nsa,femme,person,to review
mwalin / walidin / maliya,parents,person,to review
waldiya,mes parents,person,to review
el 3ayla,la famille,person,to review
m3ya,Avec moi,person,to review
m3ak,Avec toi,person,to review
m3ah,Avec lui,person,to review
m3aha,Avec elle,person,to review
m3ana,Avec nous,person,to review
m3akoum,Avec vous,person,to review
m3ahoum,Avec eux,person,to review
m3a,avec (objet non physique),person,to review
bel,avec (objet physique) ,person,to review
liya,pour moi,person,to review
lik,pour toi,person,to review
lih,pour lui,person,to review
liha,pour elle,person,to review
lina,pour nous,person,to review
likoum,pour vous,person,to review
lihoum,pour eux,person,to review
kayn ghachi,il y a du monde,person,to review
ma kayn 7ata wahad,il n'y a personne,person,to review
s7ab,ami,person,to review
sa7ab,amis,person,to review
kheddem,travailleur,person,to review
kheddema,travailleuse,person,to review
kheddamin,traveilleurs,person,to review
fi ra7ba / m3a ba3dana,ensemble,person,to review
m3a dar,en famille,person,to review
7ata wa7ad,personne,person,to review
cha3b,population,person,to review
moul,propriétaire,person,to review
bla biya,sans moi,person,to review
bla bik,sans toi,person,to review
bla bih,sans lui,person,to review
bla biha,sans elle,person,to review
bla bina,sans nous,person,to review
bla bikoum,sans vous,person,to review
bla blihoum,sans eux,person,to review
sifr,0,number,to review
wa7ed,1,number,to review
zoudj,2,number,to review
tleta,3,number,to review
rab3a,4,number,to review
khamsa,5,number,to review
seta,6,number,to review
seb3a,7,number,to review
tmenya,8,number,to review
tes3a,9,number,to review
3achra,10,number,to review
7dech,11,number,to review
tnach,12,number,to review
tletach,13,number,to review
rba3tach,14,number,to review
khmestach,15,number,to review
settach,16,number,to review
sb3tach,17,number,to review
tmentach,18,number,to review
tsa3tach,19,number,to review
3echrin,20,number,to review
wa7ed o 3achrin,21,number,to review
tnin o 3achrin,22,number,to review
tleta o 3achrin,23,number,to review
rab3a o 3achrin,24,number,to review
khamsa o 3achrin,25,number,to review
seta o 3achrin,26,number,to review
seb3a o 3achrin,27,number,to review
tmenya o 3achrin,28,number,to review
tes3a o 3achrin,29,number,to review
tletin,30,number,to review
khamsa o tletin,35,number,to review
rab3in,40,number,to review
khamsa o rab3in,45,number,to review
khamsin,50,number,to review
khamsa o khamsin,55,number,to review
stin,60,number,to review
khamsa o stin,65,number,to review
seb3in,70,number,to review
khamsa o seb3in,75,number,to review
tmenin,80,number,to review
khamsa o tmenin,85,number,to review
tes3in,90,number,to review
khamsa o tes3in,95,number,to review
mia,100,number,to review
mia o 3achra,110,number,to review
mia o 3achrin,120,number,to review
mia o wa7ed o 3achrin,121,number,to review
mia o tletin,130,number,to review
mia o rab3in,140,number,to review
mia o khamsin,150,number,to review
mitin,200,number,to review
mitin o khamsin,250,number,to review
tletmia,300,number,to review
tletmia o khamsin,350,number,to review
rab3mia,400,number,to review
rab3mia o khamsin,450,number,to review
khamsmia,500,number,to review
khamsmia khamsin,550,number,to review
sitmia,600,number,to review
sit mia o khamsin,650,number,to review
seb3mia,700,number,to review
seb3mia o khamsin,750,number,to review
tmenmia,800,number,to review
tmenmia o khamsin,850,number,to review
tes3mia,900,number,to review
tes3mia o khamsin,950,number,to review
elf,1000,number,to review
elf o mia,1100,number,to review
elf o mitin,1200,number,to review
elf o tlatemia,1300,number,to review
elf o rab3emia,1400,number,to review
elf o khamsemia,1500,number,to review
elf o setemia,1600,number,to review
elf o seb3emia,1700,number,to review
elf o tmenemia,1800,number,to review
elf o tes3emia,1900,number,to review
elfin,2000,number,to review
elfin o khamsemia,2500,number,to review
tlet alef,3000,number,to review
tlet alef o khamsemia,3500,number,to review
rab3a alef,4000,number,to review
Rab3a alfe o khamsemia,4500,number,to review
khamsa elf,5000,number,to review
khamsa elf o khamsemia,5500,number,to review
seta elf,6000,number,to review
seta elf o khamsemia,6500,number,to review
seb3a elf,7000,number,to review
seb3a elf o khamsemia,7500,number,to review
tmenia elf,8000,number,to review
tmenia elef o khamsemia,8500,number,to review
tes3a elf,9000,number,to review
tes3a elf o khamsemia,9500,number,to review
3achra elf,10000,number,to review
7dachn elf,11000,number,to review
tnachn elf,12000,number,to review
tlatachn elf,13000,number,to review
rab3atachn elf,14000,number,to review
khemstachn elf,15000,number,to review
settachn elf,16000,number,to review
seb3atachn elf,17000,number,to review
tamantachn elf,18000,number,to review
tes3atachn elf,19000,number,to review
3ichrin elf,20000,number,to review
Khamsa o 3ichrine elf,25000,number,to review
khamsine elef,50000,number,to review
mia elf,100000,number,to review
mitin elf,200000,number,to review
tletmi elf,300000,number,to review
rab3mia elf,400000,number,to review
khamsmia elf,500000,number,to review
setemia elf,600000,number,to review
seb3mia elf,700000,number,to review
tmenmia elf,800000,number,to review
tes3mia elf,900000,number,to review
million,1000000,number,to review
zoudj mlayen,2000000,number,to review
3echra mlayen,10000000,number,to review
7al ,solution,noun,to review
ta9a,fenêtre,home,to review
7aal,atmosphère / climat / temps,noun,to review
zebda,beurre,food,to review
bagra,vâche,animal,to review
ma3djoun,confiture,food,to review
mechmech,abricot,food,to review
bid,oeuf,food,to review
batta,boîte,food,to review
bayatt,boîtes,food,to review
7missa,pois chiche,food,to review
3des,lentilles,food,to review
loubia,haricots,food,to review
koulich,tout,adverb,to review
lokher,l'autre (m),personne,to review
lokhra,l'autre (f),personne,to review
f nhar,pendant la journée,temporal,to review
yfacheche,il gâte,verb,to review
yasref,il dépense,verb,to review
nefs,la même,adverb,to review
kter,le plus,adverb,to review
9al,le moins,adverb,to review
mnadem,organisé,adjectif,to review
kharedj,sorti,adjectif,to review
khardjin,sortis,adjectif,to review
khir,mieux,adverb,to review
fi 3omri,j'ai (âge),verb,to review
loun,couleur,color,to review
3abd,une personne,person,to review
logha ,une langue,noun,to review
7out,poisson,food,to review
7anout,magasin,place,to review
7ouanet,magasins,place,to review
b7ar,plage,place,to review
bit,chambre,place,to review
biout,chambres,place,to review
tomobile,voiture,noun,to review
dar,maison,place,to review
diar,maisons,place,to review
khedma,travail,noun,to review
khoubz,pain,food,to review
djaadj,poulet,food,to review
7em,viande,food,to review
tabssi,assiette,food,to review
tbassa,assiettes,food,to review
bit el ma,toilettes,home,to review
koursi,chaise,home,to review
krass,chaises,home,to review
tabla,table,home,to review
babor,bateau,place,to review
tiyara,avion,place,to review
sayara,voiture,place,to review
lamsid,école,place,to review
duzan,affaires / outils / fournitures,home,to review
dala,tour (fil d'attente),noun,to review
sbital / sbitarat,hôpital,place,to review
mefta7,clé,home,to review
mdinti,ma ville,place,to review
9issa / 7kaya,histoire,noun,to review
twa9i,fenêtres,home,to review
7alek,situation,noun,to review
ch7ul,"une affaire, quelque chose",noun,to review
7adja,chose,noun,to review
7waayedj,vêtements,home,
lebriya,lettre,noun,to review
7elwa,sucreries,food,to review
douzen,fournitures,home,to review
7eba,une part / pièce,noun,to review
7al,climat,noun,to review
7ala,situation,noun,to review
do,lumière,home,to review
tabira,la nature,noun,to review
kess,verre,home,to review
soug,marché,noun,to review
sa3a,montre,home,to review
9ar3a,bouteille / courgette,food,to review
9ar3a ta3 lma,bouteille d'eau,food,to review
tchina,orange,food,to review
khzana,armoire,home,to review
ma9li,frit,food,to review
karett,papier,home,to review
krawat,papiers,home,to review
djar,voisin,person,to review
djara,voisine,person,to review
djiren,voisins,person,to review
mochkel,problème,noun,to review
mochekel,problèmes,noun,to review
serkala,circulation,noun,to review
lam3icha,vie quotidienne,noun,to review
lekra,location,noun,to review
kari,locataire (h),person,to review
karia,locataire (f),person,to review
nos,moitié / demi,food,to review
rbo3,quart,food,to review
zit,huile,food,to review
7lib,lait,food,to review
ma9aroun,pâtes,food,to review
chkara,sachet / sac,food,to review
3endou chkara,il a de l'argent,expression,to review
smid,semoule,food,to review
mel7,sel,food,to review
roz,riz,food,to review
soker,sucre,food,to review
khel,vinaigre,food,to review
formadj,fromage,food,to review
khodra,légumes,food,to review
7aba khodra,un légume,food,to review
fekya,fruits,food,to review
7aba fekya,un fruit,food,to review
tafa7,pomme,food,to review
la3neb,raisin,food,to review
zbib,raison sec,food,to review
landjas,poire,food,to review
9ares,citron,food,to review
zrodiya,carotte,food,to review
bsal,oignon,food,to review
toum,ail,food,to review
felfel,poivron,food,to review
felfel 7aar,piment,food,to review
batendjen,aubergine,food,to review
chlada,salade / laitue,food,to review
khyar,concombre,food,to review
l7am bagri,le boeuf,food,to review
kabch,mouton,food,to review
ghanmi,aigneau,food,to review
dawara,tripes,food,to review
djadj,poulet,food,to review
m7amar,au four,food,to review
sder,blanc de poulet,food,to review
djnahtine,ailes de poulet,food,to review
kelma,mot,noun,to review
kalmet,les mots,noun,to review
chrab,boisson alcolisée,food,to review
el 9odyan,les courses,food,to review
wesh da7lek,ça ne te regarde pas,expression,to review
chghalat,tâches,noun,to review
3arda,invitation,noun,to review
had el 7adja,cette chose,noun,to review
ch3ar,cheveux / poils,body,to review
la7ya,barbe,body,to review
ri7a,parfum / odeur,body,to review
wa7dokher,un autre,person,to review
ghaba,forêt,place,to review
chghol ta3 dar,les tâches ménagères,noun,to review
n3ass,sommeil,noun,to review
ma3loma,information,noun,to review
mamnou3,interdit,noun,to review
issem,prénom,person,to review
beledia,mairie,place,to review
chmissa,soleil,noun,to review
3adjadjan,pâtes,food,to review
chwa,grillade,food,to review
les oeufs,lbid,food,to review
ta7mima,douche,place,to review
taswira,photo,noun,to review
tsawer,photos,noun,to review
idjaba,réponse,noun,to review
ghonia,chanson,noun,to review
loghna,chansons,noun,to review
sarf,la monnaie,noun,to review
3ars,fête du mariage,noun,to review
far7,joie,noun,to review
9ar7,tristesse,noun,to review
3ibad,les gens,person,to review
bnadem,une personne,person,to review
3ibada,les obligations,noun,to review
saraa9,voleur,person,to review
sa9la,claque,noun,to review
ttroli,bus,place,to review
machina,train,place,to review
9ach,meuble(s),home,to review
snan,dents,body,to review
7itt,mur,noun,to review
fikra,idée,noun,to review
khatter,esprit,noun,to review
khit,fil,noun,to review
zarbiya,tapis,home,to review
zarbiya ta3 slat,tapis de prière,home,to review
7kaya,histoire,noun,to review
7afla,fête,noun,to review
7ayawen,animal,person,to review
7ayawenet,animaux,person,to review
wadjah,visage,body,to review
fom,bouche,body,to review
lard,sol,home,to review
sar,secret,noun,to review
djib,poche,noun,to review
mnam,rêve,noun,to review
dhab,or,noun,to review
la7ssab,l'addition,noun,to review
fatoura,facture,noun,to review
lakhattarch,parce que,adverb,to review
ti9a,confiance,noun,to review
djami3a,université,place,to review
senna,une dent,body,to review
drodj,escalier,home,to review
9odyen,les courses,noun,to review
lama3an,la vaisselle,noun,to review
moghorfa,cuillère,home,to review
mouss,couteau,home,to review
fourchette,forchitta,home,to review
ttabsi,assiette,home,to review
la3cha,dîner,food,to review
nafttar,je déjeûne,verb,to review
ftour,déjeuner,temporal,to review
9ahwa,petit déjeuner,temporal,to review
safra,jaune,color,to review
7amra,rouge (f),color,to review
khadra,verte,color,to review
bida,blanche,color,to review
zre9,bleu,color,to review
zer9a,bleue,color,to review
zrou9a,bleus,color,to review
9aras,acide / citron,food,to review
batata,pomme de terre,food,to review
tomatich,tomate,food,to review
djalbana,petits pois,food,to review
loubia machto,haricots verts,food,to review
rkhiss,bon marché (m),adjectif,to review
rkhissa,bon marché (f),adjectif,to review
rkhaas,bon marché (p),adjectif,to review
3la djal,à cause,adverb,to review
hwa,air,,to review
beli,que,,to review
men,depuis,,to review
mat,il est mort,,to review
lakbir,l'aîné,,to review
wasttani,le garçon au milieu de la fraterie,personne,to review
wasttania,la fille au milieu de la fraterie,personne,to review
twam,jumeaux/jumelle,personne,to review
9raya,les études,,to review
qrayti,mes études,,to review
kol wa7ed,chacun,personne,to review
chamal,le nord,spacial,to review
gharb,l'ouest,spacial,to review
djanoub,le sud,,to review
mela,donc,adverb,to review
fi rayek,à ton avis,,to review
fi rayi,à mon avis,,to review
l3em louel,la première année,,to review
be3d zoudj smenet,dans 2 semaines,temporel,to review
be3d lioumin,dans 2 jours,,to review
be3d tletli yem,dans 3 jours,,to review
be3d 3achr yem,dans 10 jours,,to review
be3d 3achrin youm,dans 20 jours,,to review
bla ma,sans (+ verbe infinitif),,to review
eddif,l'invité,personne,to review
dyef,les invités,personne,to review
fra7,il était heureux,,to review
ttri,tendre (m),adjective,to review
ttriya,tendre (f),adjective,to review
yebess,dur,adjective,to review
yebssa,dure,adjective,to review
la3sal,le miel,food,to review
wesh sa,qu'est-ce qui s'est passé,adverb,to review
khassar,il a abîmé,verb,to review
9ader,être capable (m),adjective,to review
9adra,être capable (f),adjective,to review
9adrin,être capables,adjective,to review
atkheyel,imagine (m),verb,to review
atkheylou,imaginez,verb,to review
mazouzi,plus petit de la fraterie (benajmin),person,to review
mazouziya,plus petit de la fraterie (benajmine),person,to review
ya3ni,c'est à dire,adverb,to review
kol khatra,chaque fois,adverb,to review
lowel,le premier,adverb,to review
lowla,la première,adverb,to review
wa7dokhra,une autre,adverb,to review
sma,le ciel,noun,to review
safy,net,adjective,to review
safya,nette,adjective,to review
ghyma,nuage,noun,to review
ghyoum,nuages,noun,to review
ch7am,gras,food,to review
mghayma,nuageuse,adjective,to review
mghaym,nuageux,adjective,to review
kach 7adja,quelque chose,noun,to review
sa7abti,mon amie,person,to review
s7aabati,mes amies,person,to review
sa7bi,mon ami,person,to review
s7aabi,mes amis,person,to review
mazalni,je ai encore,verb,to review
mazalek,tu as encore,verb,to review
mazelou,il a encore,verb,to review
mazelha,elle a encore,verb,to review
mazelna,on a encore,verb,to review
mazelkoum,vous avez encore,verb,to review
mazelhoum,ils nont encore,verb,to review
mazel,pas encore,temporal,to review
ki el 3ada,comme d'habitude,temporal,to review
namchatt,je peigne,verb,to review
machtta,brosse à cheveux,body,to review
cha3ri,mes cheveux,body,to review
masrouf,argent de poche,noun,to review
khattrat,des fois,temporal,to review
khattra,une fois,temporal,to review
nad3i,je prie Dieu / j'espère,verb,to review
bihom,avec eux (objet),adverb,to review
bih,avec lui (objet),adverb,to review
biha,avec elle (objet),adverb,to review
nagasro,on discute / plaisante,verb,to review
li men,à qui,adverb,to review
3adjbatni,ça me plaît,verb,to review
3adjbatek,ça te plaît,verb,to review
las9a,la colle,maison,to review
laasa9,collé,adjective,to review
laas9a,collée,adjective,to review
laas9in,collé(e)s,adjective,to review
w9aft,je me suis levé,verb,to review
w9af,il s'est levé,verb,to review
el 7ass,le bruit,noun,to review
7lem,il a rêvé,verb,to review
ta7lem,tu rêves,verb,to review
ssalaf,j'ai prêté,verb,to review
nassalaf,je prête,verb,to review
la 7aadja,la chose,maison,to review
khatem,bague,body,to review
syagha,bijoux,body,to review
yban,il paraît,verb,to review
nban,je paraîs,verb,to review
bel3ani,exprès,verb,to review
7yat,vie,person,to review
nakrah,je déteste,verb,to review
yakrah,il déteste,verb,to review
kraht,j'en ai marre,verb,to review
krah,il en a marre,verb,to review
war9a,une feuille,maison,to review
ll 7adja lowla,la première chose,noun,to review
yrabbi,il élève,verb,to review
nrabbi,j'élève,verb,to review
9att,chat,animal,to review
9atta,chatte,animal,to review
9ttotta,chats,animal,to review
kelb,chien,animal,to review
kelba,chienne,animal,to review
kleb,chiens,animal,to review
7mar,âne,animal,to review
7mir,des ânes,animal,to review
3oud,cheval,animal,to review
3waad,chevaux,animal,to review
zawach,oiseau,animal,to review
zwawech,oiseau,animal,to review
faar,souris,animal,to review
gralou,carard,animal,to review
dabana,mouche,animal,to review
debaan,mouches,animal,to review
nemouss,moustique,animal,to review
nemoussa,moustiques,animal,to review
na7la,abeille,animal,to review
na7aal,abeilles,animal,to review
djmal,chameau,animal,to review
rtila,araignée,animal,to review
,,,to review
,,,to review
,,,to review
,,,to review